#Date,Open,High,Low,Close,Volume,Adj Close
2014/7/15,2065.9,2070.36,2059.68,2070.36,124488768,1.02894E+11
2014/7/16,2068.34,2075.49,2061.57,2067.28,137128020,1.0203E+11
2014/7/17,2062.89,2062.89,2046.19,2055.59,104491812,79106277376
2014/7/18,2047.5,2067.23,2046,2059.07,106641094,82510266368
2014/7/21,2057.77,2061.82,2049.18,2054.48,93857870,75706179584
2014/7/22,2050.5,2078.08,2049.81,2075.48,123191868,98702434304
2014/7/23,2074.2,2088.19,2072.23,2078.49,137292211,1.06702E+11
2014/7/24,2079.63,2107.95,2079.63,2105.06,165676996,1.28678E+11
2014/7/25,2108.71,2127.22,2106.71,2126.61,142495826,1.11412E+11
2014/7/28,2135.25,2181.5,2135.25,2177.95,236185752,1.80414E+11
2014/7/29,2179.83,2193.52,2172.1,2183.19,200264257,1.59282E+11
2014/7/30,2178.18,2194.57,2177.24,2181.24,184922187,1.49567E+11
2014/7/31,2179.54,2202.13,2173.9,2201.56,164691654,1.32438E+11
2014/8/1,2194.17,2218.79,2184.64,2185.3,191475042,1.51884E+11
2014/8/4,2190.04,2224.07,2186.92,2223.33,174097403,1.40089E+11
2014/8/5,2224.63,2226.84,2206.85,2219.95,175386987,1.41475E+11
2014/8/6,2212,2223.89,2192.99,2217.46,177711707,1.40363E+11
2014/8/7,2216.66,2220.57,2185.76,2187.67,175233274,1.37306E+11
2014/8/8,2188.71,2199.58,2180.6,2194.42,135181443,1.09729E+11
2014/8/11,2199.43,2225.96,2198.31,2224.65,150583421,1.26097E+11
2014/8/12,2222.7,2222.98,2210,2221.6,154799046,1.32394E+11
2014/8/13,2223.05,2230.99,2202.44,2222.88,178062806,1.46491E+11
2014/8/14,2221.54,2230.89,2204.38,2206.47,170149123,1.41707E+11
2014/8/15,2207.23,2230.87,2203.24,2226.73,149978691,1.29407E+11
2014/8/18,2229.8,2242.04,2228.13,2239.47,163928626,1.41493E+11
2014/8/19,2242.34,2246.02,2227.92,2245.33,177744592,1.55445E+11
2014/8/20,2241.66,2248.94,2233.89,2240.21,167658383,1.39628E+11
2014/8/21,2239.57,2240.08,2211.63,2230.46,165733498,1.4088E+11
2014/8/22,2228.97,2243.3,2225.27,2240.81,160111672,1.40353E+11
2014/8/25,2241.1,2241.55,2222.01,2229.27,162119578,1.3445E+11
2014/8/26,2225.29,2232.78,2200.62,2207.11,163507424,1.34123E+11
2014/8/27,2207.03,2216.67,2204.05,2209.47,120885885,1.0409E+11
2014/8/28,2210.48,2219.47,2194.86,2195.82,124229014,1.09267E+11
2014/8/29,2198.95,2218.7,2193.26,2217.2,105202496,93043875840
2014/9/1,2220.13,2236.29,2217.68,2235.51,129166583,1.17216E+11
2014/9/2,2239.68,2267.51,2234.38,2266.05,192124869,1.70932E+11
2014/9/3,2268.39,2290.55,2268.1,2288.63,212478998,1.87558E+11
2014/9/4,2290.03,2307.7,2283.28,2306.86,199489978,1.79386E+11
2014/9/5,2311.3,2327.56,2307.45,2326.43,213181917,1.8584E+11
2014/9/9,2328.43,2331.92,2315.89,2326.53,196990318,1.72908E+11
2014/9/10,2318.5,2321.91,2306.42,2318.31,189828991,1.63455E+11
2014/9/11,2315.73,2343.59,2304.6,2311.68,222221798,1.97233E+11
2014/9/12,2308.35,2331.95,2302.77,2331.95,193471540,1.62103E+11
2014/9/15,2330.19,2340.45,2321.59,2339.14,215112414,1.85394E+11
2014/9/16,2341.03,2347.94,2293.87,2296.56,302694111,2.37659E+11
2014/9/17,2298.98,2309.05,2282.79,2307.89,210842453,1.59122E+11
2014/9/18,2303.85,2319.88,2297.93,2315.93,189089045,1.44519E+11
2014/9/19,2312.98,2331.56,2305.52,2329.45,174648487,1.44345E+11
2014/9/22,2323.55,2323.55,2284.38,2289.87,175842354,1.47842E+11
2014/9/23,2289.09,2311.53,2289.02,2309.72,156855169,1.35397E+11
2014/9/24,2302.23,2345.75,2297.88,2343.57,222525725,1.85691E+11
2014/9/25,2352.87,2365.15,2336.81,2345.1,225688323,1.8926E+11
2014/9/26,2339.29,2350.11,2329.96,2347.72,174748285,1.48221E+11
2014/9/29,2353.71,2363.06,2346.58,2357.71,200111021,1.71131E+11
2014/9/30,2361.32,2365.49,2354.27,2363.87,193918690,1.66933E+11
2014/10/8,2368.58,2382.79,2354.29,2382.79,204397326,1.80338E+11
2014/10/9,2383.86,2391.35,2367.11,2389.37,235920010,2.00272E+11
2014/10/10,2380.76,2386.28,2365.07,2374.54,224671126,1.92248E+11
2014/10/13,2366.43,2366.86,2341.12,2366.01,200899314,1.75425E+11
2014/10/14,2362.8,2380.52,2349.19,2359.47,196831418,1.7016E+11
